Respondent,Linux,Windows,Docker,Github,Slack,Jira,Overtime,EdLevel,JobSeek,DevOps,EdImpt,OpSys,OnboardGood,DevOpsImpt,OrgSize,UndergradMajor,PurchaseWhat,Learn,ConvertedComp,WorkWeekHrs,YearsCode
20767,1,0,1,1,1,1,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,3.0,0.12505602079798817,0.7711585956352134,0.3000781499122399
59279,1,1,1,1,1,1,4.0,3.0,2.0,2.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,7.5227057939570905,-0.11091421545396787,0.49497416743945544
62454,0,0,0,1,0,0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,0.0,1.2768120147226554,-0.651918872921999,-0.479505920196622
20167,1,1,1,1,1,1,3.0,3.0,0.0,0.0,1.0,3.0,0.0,4.0,5.0,2.0,0.0,0.0,-0.15957125775089026,-0.11091421545396787,0.0077341236214167
22221,1,0,0,1,1,1,4.0,5.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,-0.22796847766222647,-0.11091421545396787,1.4694542550755327
30294,0,0,1,1,1,1,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,0.0,-0.09843550997747362,0.18311005490909255,-0.7718499464874452
1433,1,0,1,1,1,1,4.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,-0.18735149533975412,-0.052109361381355794,-0.7718499464874452
11711,1,1,1,1,0,1,1.0,1.0,2.0,0.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,-0.32207523406187255,-0.22852392359919205,-0.5769539289602298
40779,0,0,0,0,0,0,2.0,1.0,3.0,2.0,3.0,4.0,0.0,0.0,3.0,2.0,3.0,4.0,-0.4106988380308446,-0.11091421545396787,-0.479505920196622
12409,1,0,1,1,1,1,2.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,8.0,2.0,3.0,0.0,-0.2902344998081312,1.6532314067243947,1.9566942988935716
2320,0,0,0,1,1,1,1.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,-0.1472992496810692,-0.11091421545396787,-0.6744019377238375
29537,0,0,0,0,0,0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,10.0,1.0,1.0,-0.3838317916429988,-0.11091421545396787,-0.869297955251053
54091,1,1,0,0,1,0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,5.0,2.0,0.0,3.0,0.9140852602740809,-2.286693816140615,2.151590316420787
23712,1,0,1,1,1,0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0,7.0,8.0,2.0,3.0,-0.35800610364227875,1.0651828659982738,-0.9667459640146607
44070,0,0,0,0,0,0,2.0,5.0,3.0,1.0,0.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,-0.2632905531086207,0.477134325272153,-0.479505920196622
40553,1,0,1,1,1,1,4.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,5.0,2.0,0.0,2.0,-0.13122227827367308,-0.11091421545396787,-0.38205791143301426
8973,1,1,1,1,0,0,1.0,8.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,12.0,1.0,2.0,-0.33187601857455273,-0.052109361381355794,-0.38205791143301426
52728,1,1,1,1,0,1,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,-0.45456085329658363,-1.2870112969062095,-1.0641939727782685
14105,1,0,1,1,1,1,1.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,6.0,2.0,2.0,3.0,7.5227057939570905,-0.11091421545396787,0.9822142112574941
50215,1,0,1,1,1,1,4.0,3.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,10.0,3.0,0.0,-0.27852802944701077,-0.16971906952657997,-0.5769539289602298
25707,0,0,0,1,1,0,4.0,2.0,0.0,1.0,4.0,3.0,1.0,3.0,2.0,3.0,1.0,0.0,0.13306646992972515,-0.11091421545396787,2.931174386529649
349,1,0,1,1,1,1,1.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,5.0,7.0,0.0,0.0,0.032935855783012884,-0.11091421545396787,-0.1871618939057988
5869,1,0,1,1,1,1,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,3.0,-0.03633129890402996,-1.9926695457775545,1.1771102287847095
265,0,0,1,1,1,1,2.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,12.0,1.0,2.0,0.012909732953670428,-0.11091421545396787,-0.479505920196622
5208,1,1,1,1,1,1,2.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,5.0,0.0,2.0,0.012909732953670428,1.9472556770874552,-0.08971388514219104
449,0,1,0,1,1,0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,5.0,2.0,0.0,2.0,-0.08722088119304185,-0.11091421545396787,-0.08971388514219104
17358,0,0,0,0,1,0,4.0,3.0,2.0,0.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,-0.3761898231713217,0.18311005490909255,-0.38205791143301426
4225,1,1,0,1,0,1,4.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,5.0,8.0,1.0,3.0,-0.48742291981462144,-0.11091421545396787,-0.1871618939057988
14738,0,1,0,1,1,0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,0.0,4.0,-0.3443274607049247,0.18311005490909255,-1.259089990305484
30578,0,1,0,0,0,0,4.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,5.0,2.0,1.0,2.0,-0.2349215475085742,-0.11091421545396787,-0.2846099026694065
13479,1,0,1,1,1,1,1.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.15930069083616377,-0.28732877767180415,0.20263014114863218
43293,1,0,1,1,1,1,1.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,-0.21758293036292947,-0.22852392359919205,0.0077341236214167
33737,0,0,0,1,1,1,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,9.0,2.0,1.0,0.0,-0.18735149533975412,-0.11091421545396787,-0.479505920196622
7629,0,0,0,1,1,0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,0.0,0.0,6.0,2.0,1.0,-0.07769004881610116,-0.11091421545396787,1.1771102287847095
48293,0,0,0,1,0,0,1.0,5.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,7.0,0.0,3.0,-0.20737761816909656,0.477134325272153,0.9822142112574941
19697,1,0,0,1,0,0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,12.0,0.0,2.0,-0.4188534752469529,-1.4046210050514338,0.5924221762030631
13491,1,0,1,1,1,1,2.0,8.0,2.0,0.0,3.0,1.0,0.0,0.0,5.0,12.0,1.0,0.0,-0.2063202388837073,0.18311005490909255,0.0077341236214167
28150,1,1,0,0,0,0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,5.0,2.0,2.0,3.0,-0.23783334576796059,-0.11091421545396787,0.10518213238502444
1242,1,1,0,1,0,1,1.0,3.0,0.0,2.0,1.0,3.0,2.0,0.0,6.0,2.0,0.0,0.0,-0.12727312685172676,-0.11091421545396787,-0.38205791143301426
6779,1,1,1,1,1,1,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,-0.44580463135068193,0.18311005490909255,-1.0641939727782685
244,0,1,0,1,0,1,2.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,8.0,11.0,0.0,3.0,-0.026950261925852793,1.0651828659982738,0.7873181937302787
16681,1,0,0,1,1,0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,12.0,1.0,3.0,-0.007116389875672027,-0.11091421545396787,-0.6744019377238375
3816,1,1,0,1,1,1,2.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,7.0,1.0,3.0,-0.40459487579246106,-0.11091421545396787,-1.0641939727782685
56735,1,0,1,1,1,0,4.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,-0.2029999077186023,0.18311005490909255,0.8847662024938864
13038,1,0,1,1,1,0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,7.0,8.0,2.0,2.0,-0.21335741844593822,-0.11091421545396787,-1.0641939727782685
9114,1,1,0,1,1,0,2.0,2.0,2.0,0.0,4.0,3.0,0.0,1.0,5.0,3.0,0.0,2.0,-0.06381675196484593,-1.9926695457775545,0.49497416743945544
55775,1,0,1,1,1,1,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,5.0,2.0,0.0,2.0,-0.4372294455551575,-0.11091421545396787,-0.479505920196622
2873,1,1,0,1,0,1,2.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,5.0,2.0,0.0,2.0,0.8179598706932371,0.7711585956352134,0.49497416743945544
23861,1,0,0,1,0,0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,5.0,2.0,1.0,0.0,-0.3755169454442558,2.8293284881766363,-0.7718499464874452
35473,0,1,0,0,0,0,1.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,-0.13288044124394263,0.18311005490909255,-0.479505920196622
16879,1,1,1,1,1,1,2.0,3.0,1.0,1.0,4.0,1.0,2.0,4.0,0.0,2.0,2.0,0.0,-0.3405393193105263,-0.11091421545396787,-0.7718499464874452
43766,1,0,1,1,0,1,3.0,1.0,2.0,0.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,-0.12727312685172676,-0.11091421545396787,0.3000781499122399
56899,1,1,1,1,1,1,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,-0.42063980540333024,0.477134325272153,-0.7718499464874452
15924,1,1,1,1,1,1,3.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,-0.06719475836369938,-0.11091421545396787,0.10518213238502444
7761,1,1,1,1,0,0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,-0.4280014081553965,-0.6989627561800887,-0.479505920196622
50089,1,0,1,1,1,0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0,-0.0030711130641448508,-0.6989627561800887,0.3975261586758477
33868,1,0,1,1,1,1,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.47351055802854686,-0.4049384858170283,0.9822142112574941
320,1,1,1,1,0,1,0.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,1.4936028047994192,-0.11091421545396787,0.20263014114863218
52793,0,1,1,1,1,1,2.0,3.0,2.0,2.0,0.0,3.0,1.0,1.0,3.0,7.0,0.0,2.0,-0.25443580263839866,1.0651828659982738,-0.6744019377238375
58050,1,1,0,1,0,0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,4.0,5.0,2.0,1.0,2.0,-0.27852802944701077,-0.16971906952657997,-0.5769539289602298
43170,0,0,0,0,0,0,2.0,3.0,3.0,2.0,1.0,4.0,0.0,0.0,6.0,2.0,3.0,4.0,0.2787965657588502,1.0651828659982738,-0.2846099026694065
2173,0,0,0,1,1,0,4.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,8.0,2.0,2.0,0.2331970840764374,-0.11091421545396787,0.9822142112574941
1802,1,0,0,0,0,0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,12.0,2.0,3.0,0.021376777685916417,-0.11091421545396787,1.8592462901299638
11435,1,1,0,1,1,0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,0.0,-0.42766496929186354,-0.6989627561800887,-0.9667459640146607
16764,0,1,0,1,0,0,1.0,7.0,2.0,2.0,4.0,3.0,2.0,4.0,0.0,3.0,1.0,0.0,-0.4214168189691087,0.477134325272153,-0.5769539289602298
52020,1,1,0,1,0,0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,5.0,6.0,2.0,3.0,7.5227057939570905,0.8299634497078254,-0.5769539289602298
47375,0,1,0,0,0,0,2.0,8.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,12.0,0.0,3.0,1.6866610372335857,-0.22852392359919205,-0.479505920196622
905,1,0,1,0,0,1,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,5.0,10.0,2.0,2.0,-0.21511571203035448,-0.4049384858170283,-0.479505920196622
53617,0,1,1,1,1,1,4.0,0.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,2.0,0.0,0.1130403471003827,-0.11091421545396787,2.3464863339480027
15110,1,0,0,1,0,0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,5.0,2.0,2.0,3.0,0.0,-0.3965203430676702,-0.11091421545396787,-0.6744019377238375
56586,1,1,0,1,0,0,5.0,9.0,1.0,3.0,0.0,3.0,3.0,5.0,8.0,2.0,3.0,1.0,-0.1379518565892453,0.006695492691256291,3.0286223952932567
32565,1,1,0,1,0,0,4.0,3.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,-0.0547865726586388,-0.11091421545396787,-0.38205791143301426
42423,1,0,1,1,1,1,0.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,2.0,2.0,-0.22796847766222647,-0.11091421545396787,0.9822142112574941
38748,0,0,0,0,0,0,0.0,3.0,1.0,0.0,1.0,4.0,2.0,1.0,4.0,10.0,3.0,4.0,-0.39940410475509547,0.24191490898170462,-0.6744019377238375
15369,0,1,0,0,0,0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,1.0,8.0,2.0,3.0,0.0,-0.447691092121206,-1.9926695457775545,-0.7718499464874452
45390,1,0,0,1,0,0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,10.0,2.0,0.0,-0.27852802944701077,-0.16971906952657997,-0.5769539289602298
46964,0,0,0,0,0,1,4.0,1.0,1.0,2.0,4.0,3.0,2.0,4.0,0.0,3.0,1.0,0.0,-0.4038619196969071,1.0651828659982738,-1.0641939727782685
6859,1,1,0,1,1,1,4.0,1.0,2.0,1.0,3.0,3.0,2.0,0.0,7.0,2.0,0.0,0.0,-0.29886335561283833,-0.11091421545396787,-1.0641939727782685
47939,0,1,0,0,0,0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,-0.18067078076388546,-0.11091421545396787,0.6898701849666709
15915,1,1,0,1,0,0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,6.0,2.0,1.0,0.0,0.1407540979614531,-0.3461336317444162,-0.9667459640146607
8704,0,1,1,1,0,1,1.0,2.0,2.0,0.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,0.0,-0.3417769337013796,-0.11091421545396787,1.4694542550755327
22987,1,0,1,1,1,1,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,-0.43487437351042685,-0.11091421545396787,-0.6744019377238375
3695,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,8.0,2.0,3.0,3.0,-0.18735149533975412,-0.9929870265431492,2.4439343427116103
16782,1,0,1,1,1,1,0.0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,3.0,3.0,3.0,2.0,0.39340606671117706,-0.11091421545396787,0.9822142112574941
49170,1,0,1,1,0,0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-0.3530716669771288,0.477134325272153,-0.479505920196622
46701,0,0,0,0,0,0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,7.0,2.0,3.0,-0.18804439918964935,-0.22852392359919205,-0.2846099026694065
3478,1,0,1,1,1,0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,5.0,10.0,2.0,0.0,-0.007116389875672027,-0.4049384858170283,0.49497416743945544
16313,1,0,0,1,1,1,1.0,3.0,0.0,0.0,4.0,1.0,1.0,4.0,7.0,2.0,1.0,0.0,-0.44371790935186445,-0.11091421545396787,-0.479505920196622
61549,0,0,1,1,1,0,0.0,2.0,2.0,0.0,3.0,4.0,2.0,0.0,4.0,2.0,3.0,2.0,-0.40763884646252113,-1.2870112969062095,-0.869297955251053
19580,1,1,0,1,1,0,2.0,5.0,1.0,0.0,1.0,3.0,0.0,4.0,3.0,8.0,0.0,2.0,0.1130403471003827,0.477134325272153,0.49497416743945544
54208,0,0,1,1,1,1,4.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,7.0,0.0,3.0,-0.1545326852470277,0.18311005490909255,-0.5769539289602298
43314,0,0,0,0,0,0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,9.0,12.0,3.0,4.0,1.1780904385782158,0.2654368506107494,-1.3565379990690918
63503,0,1,0,1,0,0,3.0,2.0,2.0,0.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,-0.44213184042378056,1.24159742821611,-0.5769539289602298
61015,0,0,1,1,1,1,4.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,5.0,2.0,1.0,3.0,-0.3232207282877109,-0.11091421545396787,-0.7718499464874452
17359,0,0,0,0,0,0,0.0,1.0,2.0,2.0,4.0,3.0,2.0,0.0,0.0,6.0,1.0,0.0,-0.3675866008038362,-0.6989627561800887,-0.7718499464874452
23829,1,0,1,1,1,1,0.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,6.0,1.0,1.0,2.0,-0.17711414134939424,0.06550034676386837,-0.9667459640146607
60696,0,1,0,1,0,1,4.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,7.0,2.0,2.0,2.0,-0.4194462484827014,0.18311005490909255,0.0077341236214167
56849,0,1,0,1,0,0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,6.0,1.0,2.0,-0.4029607441695867,-0.11091421545396787,0.7873181937302787
9801,1,1,1,1,1,0,2.0,5.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,3.0,0.0,0.0,1.8502183876053915,-0.11091421545396787,0.49497416743945544
22330,1,1,0,1,1,1,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.1747933377155926,-0.4049384858170283,-0.2846099026694065
44355,1,1,0,1,1,0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,8.0,2.0,0.0,0.04743076348689095,0.006695492691256291,0.3000781499122399
54869,0,1,0,1,0,1,4.0,9.0,2.0,0.0,3.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,-0.4637600530794704,-0.11091421545396787,-0.7718499464874452
54425,0,0,0,1,0,0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,-0.007116389875672027,-0.11091421545396787,1.2745582375483173
45287,0,0,0,0,0,0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,5.0,0.0,10.0,3.0,4.0,-0.17418151592226536,0.06550034676386837,-0.7718499464874452
46427,1,1,0,1,1,1,0.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,6.0,1.0,2.0,-0.3232207282877109,-0.11091421545396787,-0.6744019377238375
48140,0,1,0,1,0,1,2.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,2.0,3.0,-0.37902552216395663,-0.11091421545396787,-0.479505920196622
33622,0,0,1,1,1,1,0.0,3.0,1.0,2.0,4.0,1.0,2.0,0.0,5.0,2.0,0.0,2.0,-0.21497953439511497,-0.11091421545396787,-0.2846099026694065
32550,1,0,1,1,1,1,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,1.4936028047994192,-0.11091421545396787,0.20263014114863218
12389,1,1,0,1,1,0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,-0.20252729121982982,-0.25792635063549807,0.49497416743945544
12263,0,1,1,0,0,0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,4.0,4.0,2.0,1.0,2.0,-0.29291319399778404,0.477134325272153,-0.38205791143301426
4033,0,1,0,0,0,0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0,10.0,3.0,3.0,0.20796577140129224,0.1595881132800478,2.4439343427116103
56502,1,1,1,1,1,1,1.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,-0.17418151592226536,0.06550034676386837,-0.7718499464874452
56151,0,1,0,1,0,1,4.0,3.0,2.0,2.0,5.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,-0.004483892295331603,0.0075911635620157245,-0.0006278410295010014
2252,1,1,0,1,0,0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,8.0,2.0,2.0,-0.20337239360322806,0.18311005490909255,-1.1616419815418761
28286,1,0,1,1,1,1,4.0,6.0,1.0,2.0,2.0,1.0,2.0,0.0,5.0,12.0,0.0,0.0,-0.007116389875672027,-0.4049384858170283,1.5669022638391406
42800,1,1,0,1,0,0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,-0.15099687300027897,0.7711585956352134,1.4694542550755327
30725,1,1,1,1,0,0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,1.0,0.0,-0.24961671644074568,0.18311005490909255,0.0077341236214167
43051,1,1,0,1,1,1,3.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,1.0,5.0,0.0,2.0,-0.1072470040223843,0.477134325272153,0.9822142112574941
33898,1,0,1,1,1,1,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,5.0,2.0,0.0,2.0,-0.007116389875672027,-0.3461336317444162,-0.2846099026694065
35955,1,1,1,1,1,1,5.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,2.0,3.0,0.0,0.834977268828699,-0.22852392359919205,0.3000781499122399
32882,1,1,1,1,1,1,2.0,9.0,2.0,2.0,4.0,3.0,0.0,0.0,7.0,2.0,2.0,0.0,-0.41192043152343455,0.477134325272153,0.0077341236214167
6179,1,1,1,1,0,1,2.0,3.0,2.0,2.0,4.0,1.0,1.0,4.0,7.0,2.0,0.0,2.0,-0.09808305021567719,0.477134325272153,2.4439343427116103
46390,0,1,0,1,0,1,2.0,1.0,2.0,2.0,4.0,3.0,0.0,4.0,7.0,2.0,2.0,0.0,-0.34355525340862525,-0.11091421545396787,0.8847662024938864
16063,1,0,0,1,0,0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,2.0,2.0,-0.41757180338587496,0.18311005490909255,2.4439343427116103
63328,0,0,0,0,0,0,5.0,1.0,3.0,3.0,0.0,4.0,3.0,5.0,2.0,2.0,3.0,4.0,0.1651082664566731,0.1595881132800478,-0.7718499464874452
18209,0,0,0,0,0,0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,6.0,2.0,4.0,1.1274996460418174,-0.28732877767180415,-0.1871618939057988
62517,1,1,1,1,1,1,2.0,8.0,2.0,2.0,2.0,1.0,1.0,4.0,8.0,12.0,3.0,0.0,-0.3235291305792828,-0.9929870265431492,-0.08971388514219104
17747,0,1,0,0,0,0,2.0,3.0,2.0,0.0,4.0,3.0,0.0,4.0,5.0,8.0,1.0,2.0,-0.43578756471144486,0.18311005490909255,-0.479505920196622
25956,1,1,1,1,1,1,0.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,6.0,6.0,3.0,3.0,-0.18735149533975412,-0.11091421545396787,-0.479505920196622
43859,1,0,1,0,0,1,1.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,8.0,2.0,2.0,0.07509885478791048,-0.3461336317444162,2.0541423076571794
33254,0,1,1,1,0,1,1.0,3.0,2.0,0.0,4.0,3.0,2.0,0.0,5.0,2.0,0.0,3.0,7.5227057939570905,1.0651828659982738,0.9822142112574941
31797,1,0,1,1,0,1,1.0,3.0,2.0,2.0,0.0,1.0,0.0,4.0,7.0,2.0,1.0,2.0,0.12294526745177548,0.006695492691256291,0.9822142112574941
15205,1,1,0,1,1,0,3.0,5.0,2.0,0.0,2.0,3.0,0.0,5.0,7.0,10.0,2.0,3.0,-0.21250030038884238,-0.11091421545396787,-0.869297955251053
63901,0,0,0,1,1,1,1.0,1.0,3.0,2.0,4.0,3.0,2.0,0.0,7.0,3.0,2.0,0.0,-0.27457647489032494,-0.11091421545396787,0.10518213238502444
22337,0,1,0,0,0,0,1.0,5.0,1.0,2.0,0.0,3.0,2.0,1.0,7.0,12.0,1.0,3.0,-0.09808305021567719,-0.11091421545396787,0.0077341236214167
2254,1,1,1,1,0,1,2.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,5.0,2.0,0.0,0.0,-0.2378237332290025,2.2412799474505154,0.0077341236214167
23898,1,1,1,0,1,0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,4.0,8.0,9.0,3.0,3.0,-0.38420828275219043,-0.11091421545396787,2.4439343427116103
